timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:00:10.087, 0 %, 31589 MiB, 27.07 W, 38
2026/09/06 16:00:10.362, 0 %, 31589 MiB, 27.11 W, 38
2026/09/06 16:00:10.612, 0 %, 31589 MiB, 27.11 W, 38
2026/09/06 16:00:10.862, 0 %, 31589 MiB, 27.11 W, 38
2026/09/06 16:00:11.113, 0 %, 31589 MiB, 27.11 W, 38
2026/09/06 16:00:11.363, 0 %, 31589 MiB, 27.83 W, 38
2026/09/06 16:00:11.613, 0 %, 31589 MiB, 27.83 W, 38
2026/09/06 16:00:11.864, 0 %, 31589 MiB, 27.83 W, 38
2026/09/06 16:00:12.114, 0 %, 31589 MiB, 27.83 W, 38
2026/09/06 16:00:12.364, 0 %, 31589 MiB, 27.47 W, 38
2026/09/06 16:00:12.614, 0 %, 31589 MiB, 27.47 W, 38
2026/09/06 16:00:12.865, 0 %, 31589 MiB, 27.47 W, 38
2026/09/06 16:00:13.115, 0 %, 31589 MiB, 27.47 W, 38
2026/09/06 16:00:13.365, 0 %, 31589 MiB, 26.98 W, 38
2026/09/06 16:00:13.615, 0 %, 31589 MiB, 26.98 W, 38
2026/09/06 16:00:13.865, 0 %, 31589 MiB, 26.98 W, 38
2026/09/06 16:00:14.116, 0 %, 31589 MiB, 26.98 W, 38
2026/09/06 16:00:14.366, 0 %, 31589 MiB, 27.40 W, 38
2026/09/06 16:00:14.616, 0 %, 31589 MiB, 27.40 W, 38
2026/09/06 16:00:14.866, 0 %, 31589 MiB, 27.40 W, 38
2026/09/06 16:00:15.117, 0 %, 31589 MiB, 27.40 W, 38
2026/09/06 16:00:15.367, 0 %, 31589 MiB, 27.71 W, 38
2026/09/06 16:00:15.618, 0 %, 31589 MiB, 27.71 W, 38
2026/09/06 16:00:15.868, 0 %, 31589 MiB, 27.71 W, 38
2026/09/06 16:00:16.118, 0 %, 31589 MiB, 27.71 W, 38
2026/09/06 16:00:16.369, 0 %, 31589 MiB, 27.75 W, 38
2026/09/06 16:00:16.619, 0 %, 31589 MiB, 27.75 W, 38
2026/09/06 16:00:16.869, 0 %, 31589 MiB, 27.75 W, 38
2026/09/06 16:00:17.119, 0 %, 31589 MiB, 27.75 W, 38
2026/09/06 16:00:17.369, 0 %, 31589 MiB, 27.24 W, 38
2026/09/06 16:00:17.620, 0 %, 31589 MiB, 27.24 W, 38
2026/09/06 16:00:17.870, 0 %, 31589 MiB, 27.24 W, 38
2026/09/06 16:00:18.120, 0 %, 31589 MiB, 27.24 W, 38
2026/09/06 16:00:18.370, 0 %, 31589 MiB, 27.27 W, 38
2026/09/06 16:00:18.621, 0 %, 31589 MiB, 27.27 W, 38
2026/09/06 16:00:18.871, 0 %, 31589 MiB, 27.27 W, 38
2026/09/06 16:00:19.121, 0 %, 31589 MiB, 27.27 W, 38
2026/09/06 16:00:19.371, 0 %, 31589 MiB, 26.71 W, 38
2026/09/06 16:00:19.621, 0 %, 31589 MiB, 26.71 W, 38
2026/09/06 16:00:19.872, 0 %, 31589 MiB, 26.71 W, 38
2026/09/06 16:00:20.122, 0 %, 31589 MiB, 26.71 W, 38
2026/09/06 16:00:20.372, 0 %, 31589 MiB, 27.25 W, 38
2026/09/06 16:00:20.622, 0 %, 31589 MiB, 27.25 W, 38
2026/09/06 16:00:20.873, 0 %, 31589 MiB, 27.25 W, 38
2026/09/06 16:00:21.123, 0 %, 31589 MiB, 27.25 W, 38
2026/09/06 16:00:21.373, 0 %, 31589 MiB, 28.36 W, 38
2026/09/06 16:00:21.623, 0 %, 31589 MiB, 28.36 W, 38
2026/09/06 16:00:21.874, 0 %, 31589 MiB, 28.36 W, 38
2026/09/06 16:00:22.124, 0 %, 31589 MiB, 28.36 W, 38
2026/09/06 16:00:22.374, 0 %, 31589 MiB, 27.98 W, 38
2026/09/06 16:00:22.624, 0 %, 31589 MiB, 27.98 W, 38
2026/09/06 16:00:22.874, 0 %, 31589 MiB, 27.98 W, 38
2026/09/06 16:00:23.125, 0 %, 31589 MiB, 27.98 W, 38
2026/09/06 16:00:23.375, 0 %, 31589 MiB, 26.58 W, 38
2026/09/06 16:00:23.625, 0 %, 31589 MiB, 26.58 W, 38
2026/09/06 16:00:23.875, 0 %, 31589 MiB, 26.58 W, 38
2026/09/06 16:00:24.125, 0 %, 31589 MiB, 26.58 W, 38
2026/09/06 16:00:24.376, 0 %, 31589 MiB, 27.06 W, 38
2026/09/06 16:00:24.626, 0 %, 31589 MiB, 27.06 W, 38
2026/09/06 16:00:24.876, 0 %, 31589 MiB, 27.06 W, 38
2026/09/06 16:00:25.126, 0 %, 31589 MiB, 27.06 W, 38
2026/09/06 16:00:25.377, 0 %, 31589 MiB, 27.22 W, 38
2026/09/06 16:00:25.627, 0 %, 31589 MiB, 27.22 W, 38
2026/09/06 16:00:25.877, 0 %, 31589 MiB, 27.22 W, 38
2026/09/06 16:00:26.127, 0 %, 31589 MiB, 27.22 W, 38
2026/09/06 16:00:26.378, 0 %, 31589 MiB, 26.81 W, 38
2026/09/06 16:00:26.628, 0 %, 31589 MiB, 26.81 W, 38
2026/09/06 16:00:26.878, 0 %, 31589 MiB, 26.81 W, 38
2026/09/06 16:00:27.129, 0 %, 31589 MiB, 26.81 W, 38
2026/09/06 16:00:27.379, 0 %, 31589 MiB, 26.91 W, 38
2026/09/06 16:00:27.629, 0 %, 31589 MiB, 26.91 W, 38
2026/09/06 16:00:27.880, 0 %, 31589 MiB, 26.91 W, 38
2026/09/06 16:00:28.130, 0 %, 31589 MiB, 26.91 W, 38
2026/09/06 16:00:28.380, 0 %, 31589 MiB, 26.79 W, 38
2026/09/06 16:00:28.630, 0 %, 31589 MiB, 26.79 W, 38
2026/09/06 16:00:28.880, 0 %, 31589 MiB, 26.79 W, 38
2026/09/06 16:00:29.132, 0 %, 31589 MiB, 26.79 W, 38
2026/09/06 16:00:29.382, 0 %, 31589 MiB, 26.41 W, 37
2026/09/06 16:00:29.632, 0 %, 31589 MiB, 26.41 W, 37
2026/09/06 16:00:29.883, 0 %, 31589 MiB, 26.41 W, 37
2026/09/06 16:00:30.133, 0 %, 31589 MiB, 26.41 W, 37
2026/09/06 16:00:30.383, 0 %, 31589 MiB, 26.95 W, 37
2026/09/06 16:00:30.634, 0 %, 31589 MiB, 26.95 W, 37
2026/09/06 16:00:30.884, 0 %, 31589 MiB, 26.95 W, 37
2026/09/06 16:00:31.134, 0 %, 31589 MiB, 26.95 W, 37
2026/09/06 16:00:31.385, 0 %, 31589 MiB, 26.67 W, 37
2026/09/06 16:00:31.635, 0 %, 31589 MiB, 26.67 W, 37
2026/09/06 16:00:31.885, 0 %, 31589 MiB, 26.67 W, 37
2026/09/06 16:00:32.135, 0 %, 31589 MiB, 26.67 W, 37
2026/09/06 16:00:32.385, 0 %, 31601 MiB, 27.09 W, 45
2026/09/06 16:00:32.636, 0 %, 31601 MiB, 27.09 W, 45
2026/09/06 16:00:32.886, 0 %, 31473 MiB, 123.71 W, 44
2026/09/06 16:00:33.136, 0 %, 31473 MiB, 123.71 W, 44
2026/09/06 16:00:33.386, 0 %, 31473 MiB, 192.66 W, 40
2026/09/06 16:00:33.637, 0 %, 31473 MiB, 192.66 W, 40
2026/09/06 16:00:33.887, 0 %, 31621 MiB, 110.02 W, 40
2026/09/06 16:00:34.137, 0 %, 31621 MiB, 110.02 W, 40
2026/09/06 16:00:34.387, 100 %, 31621 MiB, 225.82 W, 46
2026/09/06 16:00:34.637, 100 %, 31621 MiB, 225.82 W, 46
2026/09/06 16:00:34.888, 100 %, 31621 MiB, 355.80 W, 46
2026/09/06 16:00:35.138, 100 %, 31621 MiB, 355.80 W, 46
2026/09/06 16:00:35.388, 100 %, 31621 MiB, 382.83 W, 46
2026/09/06 16:00:35.638, 100 %, 31621 MiB, 382.83 W, 46
2026/09/06 16:00:35.889, 100 %, 31621 MiB, 383.51 W, 47
2026/09/06 16:00:36.139, 100 %, 31621 MiB, 383.51 W, 47
2026/09/06 16:00:36.389, 100 %, 31621 MiB, 383.98 W, 47
2026/09/06 16:00:36.639, 100 %, 31621 MiB, 383.98 W, 47
2026/09/06 16:00:36.889, 100 %, 31621 MiB, 384.39 W, 47
2026/09/06 16:00:37.140, 100 %, 31621 MiB, 384.39 W, 47
2026/09/06 16:00:37.390, 100 %, 31621 MiB, 384.93 W, 48
2026/09/06 16:00:37.640, 100 %, 31621 MiB, 384.93 W, 48
2026/09/06 16:00:37.890, 100 %, 31621 MiB, 402.67 W, 48
2026/09/06 16:00:38.140, 100 %, 31621 MiB, 402.67 W, 48
2026/09/06 16:00:38.391, 100 %, 31621 MiB, 404.55 W, 48
