timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:13:13.172, 0 %, 31899 MiB, 29.05 W, 42
2026/09/06 16:13:13.437, 0 %, 31899 MiB, 28.73 W, 42
2026/09/06 16:13:13.687, 0 %, 31899 MiB, 28.73 W, 42
2026/09/06 16:13:13.937, 0 %, 31899 MiB, 28.73 W, 42
2026/09/06 16:13:14.187, 0 %, 31899 MiB, 28.73 W, 42
2026/09/06 16:13:14.438, 0 %, 31899 MiB, 27.44 W, 42
2026/09/06 16:13:14.688, 0 %, 31899 MiB, 27.44 W, 42
2026/09/06 16:13:14.938, 0 %, 31899 MiB, 27.44 W, 42
2026/09/06 16:13:15.188, 0 %, 31899 MiB, 27.44 W, 42
2026/09/06 16:13:15.439, 0 %, 31899 MiB, 27.83 W, 42
2026/09/06 16:13:15.689, 0 %, 31899 MiB, 27.83 W, 42
2026/09/06 16:13:15.939, 0 %, 31899 MiB, 27.83 W, 42
2026/09/06 16:13:16.189, 0 %, 31899 MiB, 27.83 W, 42
2026/09/06 16:13:16.439, 0 %, 31899 MiB, 27.85 W, 42
2026/09/06 16:13:16.690, 0 %, 31899 MiB, 27.85 W, 42
2026/09/06 16:13:16.940, 0 %, 31899 MiB, 27.85 W, 42
2026/09/06 16:13:17.190, 0 %, 31899 MiB, 27.85 W, 42
2026/09/06 16:13:17.440, 0 %, 31899 MiB, 26.84 W, 42
2026/09/06 16:13:17.691, 0 %, 31899 MiB, 26.84 W, 42
2026/09/06 16:13:17.941, 0 %, 31899 MiB, 26.84 W, 42
2026/09/06 16:13:18.191, 0 %, 31899 MiB, 26.84 W, 42
2026/09/06 16:13:18.441, 0 %, 31899 MiB, 26.57 W, 42
2026/09/06 16:13:18.691, 0 %, 31899 MiB, 26.57 W, 42
2026/09/06 16:13:18.942, 0 %, 31899 MiB, 26.57 W, 42
2026/09/06 16:13:19.192, 0 %, 31899 MiB, 26.57 W, 42
2026/09/06 16:13:19.442, 0 %, 31899 MiB, 26.44 W, 41
2026/09/06 16:13:19.692, 0 %, 31899 MiB, 26.44 W, 41
2026/09/06 16:13:19.942, 0 %, 31899 MiB, 26.44 W, 41
2026/09/06 16:13:20.193, 0 %, 31899 MiB, 26.44 W, 41
2026/09/06 16:13:20.446, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:20.696, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:20.947, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:21.197, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:21.447, 0 %, 31899 MiB, 27.33 W, 41
2026/09/06 16:13:21.697, 0 %, 31899 MiB, 27.33 W, 41
2026/09/06 16:13:21.947, 0 %, 31899 MiB, 27.33 W, 41
2026/09/06 16:13:22.197, 0 %, 31899 MiB, 27.33 W, 41
2026/09/06 16:13:22.448, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:22.698, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:22.948, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:23.199, 0 %, 31899 MiB, 27.56 W, 41
2026/09/06 16:13:23.449, 0 %, 31899 MiB, 27.85 W, 41
2026/09/06 16:13:23.700, 0 %, 31899 MiB, 27.85 W, 41
2026/09/06 16:13:23.950, 0 %, 31899 MiB, 27.85 W, 41
2026/09/06 16:13:24.200, 0 %, 31899 MiB, 27.85 W, 41
2026/09/06 16:13:24.451, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:24.701, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:24.951, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:25.201, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:25.452, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:25.702, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:25.952, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:26.204, 0 %, 31899 MiB, 26.87 W, 41
2026/09/06 16:13:26.454, 0 %, 31899 MiB, 27.42 W, 41
2026/09/06 16:13:26.704, 0 %, 31899 MiB, 27.42 W, 41
2026/09/06 16:13:26.955, 0 %, 31899 MiB, 27.42 W, 41
2026/09/06 16:13:27.205, 0 %, 31899 MiB, 27.42 W, 41
2026/09/06 16:13:27.455, 0 %, 31899 MiB, 27.01 W, 41
2026/09/06 16:13:27.706, 0 %, 31899 MiB, 27.01 W, 41
2026/09/06 16:13:27.956, 0 %, 31899 MiB, 27.01 W, 41
2026/09/06 16:13:28.206, 0 %, 31899 MiB, 27.01 W, 41
2026/09/06 16:13:28.456, 0 %, 31899 MiB, 27.04 W, 41
2026/09/06 16:13:28.707, 0 %, 31899 MiB, 27.04 W, 41
2026/09/06 16:13:28.957, 0 %, 31899 MiB, 27.04 W, 41
2026/09/06 16:13:29.207, 0 %, 31899 MiB, 27.04 W, 41
2026/09/06 16:13:29.457, 0 %, 31899 MiB, 27.44 W, 41
2026/09/06 16:13:29.708, 0 %, 31899 MiB, 27.44 W, 41
2026/09/06 16:13:29.958, 0 %, 31899 MiB, 27.44 W, 41
2026/09/06 16:13:30.208, 0 %, 31899 MiB, 27.44 W, 41
2026/09/06 16:13:30.458, 0 %, 31899 MiB, 27.73 W, 41
