timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:46:35.296, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:35.561, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:35.811, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:36.061, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:36.311, 0 %, 31615 MiB, 25.18 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:36.561, 0 %, 31615 MiB, 25.18 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:36.812, 0 %, 31615 MiB, 25.18 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:37.062, 0 %, 31615 MiB, 25.18 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:37.312, 0 %, 31615 MiB, 24.39 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:37.562, 0 %, 31615 MiB, 24.39 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:37.813, 0 %, 31615 MiB, 24.39 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:38.063, 0 %, 31615 MiB, 24.39 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:38.313, 0 %, 31615 MiB, 25.00 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:38.563, 0 %, 31615 MiB, 25.00 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:38.813, 0 %, 31615 MiB, 25.00 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:39.064, 0 %, 31615 MiB, 25.00 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:39.314, 0 %, 31615 MiB, 24.83 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:39.564, 0 %, 31615 MiB, 24.83 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:39.814, 0 %, 31615 MiB, 24.83 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:40.065, 0 %, 31615 MiB, 24.83 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:40.315, 0 %, 31615 MiB, 24.40 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:40.565, 0 %, 31615 MiB, 24.40 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:40.815, 0 %, 31615 MiB, 24.40 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:41.066, 0 %, 31615 MiB, 24.40 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:41.316, 0 %, 31615 MiB, 25.13 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:41.566, 0 %, 31615 MiB, 25.13 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:41.816, 0 %, 31615 MiB, 25.13 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:42.067, 0 %, 31615 MiB, 25.13 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:42.317, 0 %, 31615 MiB, 24.94 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:42.567, 0 %, 31615 MiB, 24.94 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:42.817, 0 %, 31615 MiB, 24.94 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:43.068, 0 %, 31615 MiB, 24.94 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:43.318, 0 %, 31615 MiB, 24.82 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:43.568, 0 %, 31615 MiB, 24.82 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:43.818, 0 %, 31615 MiB, 24.82 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:44.069, 0 %, 31615 MiB, 24.82 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:44.319, 0 %, 31615 MiB, 26.16 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:44.569, 0 %, 31615 MiB, 26.16 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:44.819, 0 %, 31615 MiB, 26.16 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:45.070, 0 %, 31615 MiB, 26.16 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:45.320, 0 %, 31615 MiB, 26.03 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:45.570, 0 %, 31615 MiB, 26.03 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:45.820, 0 %, 31615 MiB, 26.03 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:46.071, 0 %, 31615 MiB, 26.03 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:46.321, 0 %, 31615 MiB, 25.34 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:46.571, 0 %, 31615 MiB, 25.34 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:46.822, 0 %, 31615 MiB, 25.34 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:47.072, 0 %, 31615 MiB, 25.34 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:47.322, 0 %, 31615 MiB, 25.30 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:47.573, 0 %, 31615 MiB, 25.30 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:47.823, 0 %, 31615 MiB, 25.30 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:48.073, 0 %, 31615 MiB, 25.30 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:48.324, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:48.574, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:48.824, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:49.074, 0 %, 31615 MiB, 25.42 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:49.325, 0 %, 31615 MiB, 25.19 W, 37, 180 MHz, 405 MHz
2026/09/06 16:46:49.575, 0 %, 31615 MiB, 25.19 W, 37, 180 MHz, 405 MHz
