timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:07:13.325, 0 %, 27717 MiB, 29.31 W, 43
2026/09/06 16:07:13.591, 0 %, 27717 MiB, 29.22 W, 43
2026/09/06 16:07:13.841, 0 %, 27717 MiB, 29.22 W, 43
2026/09/06 16:07:14.092, 0 %, 27717 MiB, 29.22 W, 43
2026/09/06 16:07:14.342, 0 %, 27717 MiB, 29.22 W, 43
2026/09/06 16:07:14.592, 0 %, 27717 MiB, 28.23 W, 43
2026/09/06 16:07:14.842, 0 %, 27717 MiB, 28.23 W, 43
2026/09/06 16:07:15.093, 0 %, 27717 MiB, 28.23 W, 43
2026/09/06 16:07:15.343, 0 %, 27717 MiB, 28.23 W, 43
2026/09/06 16:07:15.593, 0 %, 27717 MiB, 28.27 W, 43
2026/09/06 16:07:15.843, 0 %, 27717 MiB, 28.27 W, 43
2026/09/06 16:07:16.093, 0 %, 27717 MiB, 28.27 W, 43
2026/09/06 16:07:16.344, 0 %, 27717 MiB, 28.27 W, 43
2026/09/06 16:07:16.594, 0 %, 27717 MiB, 28.33 W, 43
2026/09/06 16:07:16.844, 0 %, 27717 MiB, 28.33 W, 43
2026/09/06 16:07:17.094, 0 %, 27717 MiB, 28.33 W, 43
2026/09/06 16:07:17.344, 0 %, 27717 MiB, 28.33 W, 43
2026/09/06 16:07:17.595, 0 %, 27717 MiB, 28.35 W, 43
2026/09/06 16:07:17.845, 0 %, 27717 MiB, 28.35 W, 43
2026/09/06 16:07:18.095, 0 %, 27717 MiB, 28.35 W, 43
2026/09/06 16:07:18.345, 0 %, 27717 MiB, 28.35 W, 43
2026/09/06 16:07:18.595, 0 %, 27717 MiB, 28.50 W, 43
2026/09/06 16:07:18.846, 0 %, 27717 MiB, 28.50 W, 43
2026/09/06 16:07:19.096, 0 %, 27717 MiB, 28.50 W, 43
2026/09/06 16:07:19.346, 0 %, 27717 MiB, 28.50 W, 43
2026/09/06 16:07:19.596, 0 %, 27717 MiB, 28.49 W, 43
2026/09/06 16:07:19.846, 0 %, 27717 MiB, 28.49 W, 43
2026/09/06 16:07:20.097, 0 %, 27717 MiB, 28.49 W, 43
2026/09/06 16:07:20.347, 0 %, 27717 MiB, 28.49 W, 43
2026/09/06 16:07:20.597, 0 %, 27717 MiB, 28.42 W, 43
2026/09/06 16:07:20.848, 0 %, 27717 MiB, 28.42 W, 43
2026/09/06 16:07:21.098, 0 %, 27717 MiB, 28.42 W, 43
2026/09/06 16:07:21.348, 0 %, 27717 MiB, 28.42 W, 43
2026/09/06 16:07:21.598, 0 %, 27717 MiB, 28.20 W, 43
2026/09/06 16:07:21.848, 0 %, 27717 MiB, 28.20 W, 43
2026/09/06 16:07:22.099, 0 %, 27717 MiB, 28.20 W, 43
2026/09/06 16:07:22.349, 0 %, 27717 MiB, 28.20 W, 43
2026/09/06 16:07:22.599, 0 %, 27717 MiB, 28.08 W, 43
2026/09/06 16:07:22.849, 0 %, 27717 MiB, 28.08 W, 43
2026/09/06 16:07:23.100, 0 %, 27717 MiB, 28.08 W, 43
2026/09/06 16:07:23.350, 0 %, 27717 MiB, 28.08 W, 43
2026/09/06 16:07:23.600, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:23.850, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:24.101, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:24.351, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:24.601, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:24.851, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:25.101, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:25.352, 0 %, 27717 MiB, 28.80 W, 43
2026/09/06 16:07:25.602, 0 %, 27717 MiB, 28.34 W, 43
2026/09/06 16:07:25.852, 0 %, 27717 MiB, 28.34 W, 43
2026/09/06 16:07:26.102, 0 %, 27717 MiB, 28.34 W, 43
2026/09/06 16:07:26.352, 0 %, 27717 MiB, 28.34 W, 43
2026/09/06 16:07:26.603, 0 %, 27717 MiB, 27.89 W, 43
2026/09/06 16:07:26.853, 0 %, 27717 MiB, 27.89 W, 43
2026/09/06 16:07:27.103, 0 %, 27717 MiB, 27.89 W, 43
2026/09/06 16:07:27.353, 0 %, 27717 MiB, 27.89 W, 43
2026/09/06 16:07:27.603, 0 %, 27717 MiB, 27.71 W, 43
2026/09/06 16:07:27.854, 0 %, 27717 MiB, 27.71 W, 43
