timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:19:58.025, 0 %, 27743 MiB, 32.38 W, 43
2026/09/06 16:19:58.290, 0 %, 27743 MiB, 32.38 W, 43
2026/09/06 16:19:58.540, 0 %, 27743 MiB, 29.59 W, 43
2026/09/06 16:19:58.791, 0 %, 27743 MiB, 29.59 W, 43
2026/09/06 16:19:59.041, 0 %, 27743 MiB, 29.59 W, 43
2026/09/06 16:19:59.291, 0 %, 27743 MiB, 29.59 W, 43
2026/09/06 16:19:59.541, 0 %, 27743 MiB, 28.85 W, 43
2026/09/06 16:19:59.792, 0 %, 27743 MiB, 28.85 W, 43
2026/09/06 16:20:00.042, 0 %, 27743 MiB, 28.85 W, 43
2026/09/06 16:20:00.292, 0 %, 27743 MiB, 28.85 W, 43
2026/09/06 16:20:00.543, 0 %, 27743 MiB, 28.63 W, 43
2026/09/06 16:20:00.793, 0 %, 27743 MiB, 28.63 W, 43
2026/09/06 16:20:01.045, 0 %, 27743 MiB, 28.63 W, 43
2026/09/06 16:20:01.295, 0 %, 27743 MiB, 28.63 W, 43
2026/09/06 16:20:01.546, 0 %, 27743 MiB, 29.17 W, 43
2026/09/06 16:20:01.796, 0 %, 27743 MiB, 29.17 W, 43
2026/09/06 16:20:02.046, 0 %, 27743 MiB, 29.17 W, 43
2026/09/06 16:20:02.296, 0 %, 27743 MiB, 29.17 W, 43
2026/09/06 16:20:02.547, 0 %, 27743 MiB, 28.03 W, 42
2026/09/06 16:20:02.797, 0 %, 27743 MiB, 28.03 W, 42
2026/09/06 16:20:03.047, 0 %, 27743 MiB, 28.03 W, 42
2026/09/06 16:20:03.298, 0 %, 27743 MiB, 28.03 W, 42
2026/09/06 16:20:03.548, 0 %, 27743 MiB, 28.76 W, 42
2026/09/06 16:20:03.798, 0 %, 27743 MiB, 28.76 W, 42
2026/09/06 16:20:04.048, 0 %, 27743 MiB, 28.76 W, 42
2026/09/06 16:20:04.299, 0 %, 27743 MiB, 28.76 W, 42
2026/09/06 16:20:04.549, 0 %, 27743 MiB, 29.71 W, 42
2026/09/06 16:20:04.799, 0 %, 27743 MiB, 29.71 W, 42
2026/09/06 16:20:05.049, 0 %, 27743 MiB, 29.71 W, 42
2026/09/06 16:20:05.300, 0 %, 27743 MiB, 29.71 W, 42
2026/09/06 16:20:05.550, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:05.800, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:06.051, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:06.301, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:06.551, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:06.801, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:07.052, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:07.302, 0 %, 27743 MiB, 28.56 W, 42
2026/09/06 16:20:07.552, 0 %, 27743 MiB, 29.22 W, 42
2026/09/06 16:20:07.802, 0 %, 27743 MiB, 29.22 W, 42
2026/09/06 16:20:08.053, 0 %, 27743 MiB, 29.22 W, 42
2026/09/06 16:20:08.303, 0 %, 27743 MiB, 29.22 W, 42
2026/09/06 16:20:08.553, 0 %, 27743 MiB, 29.05 W, 42
2026/09/06 16:20:08.803, 0 %, 27743 MiB, 29.05 W, 42
2026/09/06 16:20:09.053, 0 %, 27743 MiB, 29.05 W, 42
2026/09/06 16:20:09.304, 0 %, 27743 MiB, 29.05 W, 42
2026/09/06 16:20:09.554, 0 %, 27743 MiB, 28.49 W, 42
2026/09/06 16:20:09.804, 0 %, 27743 MiB, 28.49 W, 42
2026/09/06 16:20:10.054, 0 %, 27743 MiB, 28.49 W, 42
2026/09/06 16:20:10.305, 0 %, 27743 MiB, 28.49 W, 42
2026/09/06 16:20:10.555, 0 %, 27743 MiB, 28.47 W, 42
2026/09/06 16:20:10.805, 0 %, 27743 MiB, 28.47 W, 42
2026/09/06 16:20:11.055, 0 %, 27743 MiB, 28.47 W, 42
2026/09/06 16:20:11.305, 0 %, 27743 MiB, 28.47 W, 42
2026/09/06 16:20:11.556, 0 %, 27743 MiB, 28.27 W, 42
2026/09/06 16:20:11.806, 0 %, 27743 MiB, 28.27 W, 42
2026/09/06 16:20:12.056, 0 %, 27743 MiB, 28.27 W, 42
2026/09/06 16:20:12.307, 0 %, 27743 MiB, 28.27 W, 42
2026/09/06 16:20:12.557, 0 %, 27743 MiB, 27.55 W, 42
2026/09/06 16:20:12.807, 0 %, 27743 MiB, 27.55 W, 42
2026/09/06 16:20:13.058, 0 %, 27743 MiB, 27.55 W, 42
2026/09/06 16:20:13.308, 0 %, 27743 MiB, 27.55 W, 42
2026/09/06 16:20:13.558, 0 %, 27743 MiB, 27.81 W, 42
2026/09/06 16:20:13.809, 0 %, 27743 MiB, 27.81 W, 42
2026/09/06 16:20:14.059, 0 %, 27743 MiB, 27.81 W, 42
2026/09/06 16:20:14.309, 0 %, 27743 MiB, 27.81 W, 42
2026/09/06 16:20:14.559, 0 %, 27743 MiB, 28.62 W, 42
2026/09/06 16:20:14.810, 0 %, 27743 MiB, 28.62 W, 42
2026/09/06 16:20:15.060, 0 %, 27743 MiB, 28.62 W, 42
2026/09/06 16:20:15.311, 0 %, 27743 MiB, 28.62 W, 42
2026/09/06 16:20:15.561, 0 %, 27743 MiB, 28.89 W, 42
2026/09/06 16:20:15.811, 0 %, 27743 MiB, 28.89 W, 42
2026/09/06 16:20:16.061, 0 %, 27743 MiB, 28.89 W, 42
2026/09/06 16:20:16.311, 0 %, 27895 MiB, 28.89 W, 42
2026/09/06 16:20:16.562, 41 %, 27997 MiB, 81.60 W, 47
2026/09/06 16:20:16.812, 41 %, 27719 MiB, 81.60 W, 47
2026/09/06 16:20:17.062, 41 %, 27719 MiB, 100.74 W, 44
2026/09/06 16:20:17.312, 41 %, 27719 MiB, 100.74 W, 44
2026/09/06 16:20:17.562, 0 %, 27719 MiB, 125.78 W, 44
2026/09/06 16:20:17.813, 0 %, 27997 MiB, 125.78 W, 44
2026/09/06 16:20:18.063, 0 %, 27997 MiB, 203.71 W, 50
2026/09/06 16:20:18.313, 0 %, 27997 MiB, 203.71 W, 50
2026/09/06 16:20:18.563, 94 %, 27997 MiB, 332.35 W, 50
2026/09/06 16:20:18.814, 94 %, 27997 MiB, 332.35 W, 50
2026/09/06 16:20:19.064, 94 %, 27997 MiB, 386.47 W, 57
2026/09/06 16:20:19.314, 94 %, 27997 MiB, 386.47 W, 57
2026/09/06 16:20:19.564, 95 %, 27997 MiB, 400.77 W, 51
2026/09/06 16:20:19.815, 95 %, 27997 MiB, 400.77 W, 51
2026/09/06 16:20:20.065, 95 %, 27997 MiB, 401.52 W, 51
2026/09/06 16:20:20.315, 95 %, 27997 MiB, 401.52 W, 51
2026/09/06 16:20:20.565, 95 %, 27997 MiB, 382.10 W, 51
2026/09/06 16:20:20.816, 95 %, 27997 MiB, 382.10 W, 51
2026/09/06 16:20:21.066, 95 %, 27997 MiB, 402.70 W, 52
2026/09/06 16:20:21.316, 95 %, 27997 MiB, 402.70 W, 52
2026/09/06 16:20:21.566, 94 %, 27997 MiB, 404.15 W, 52
2026/09/06 16:20:21.818, 94 %, 27997 MiB, 404.15 W, 52
2026/09/06 16:20:22.068, 94 %, 27997 MiB, 385.10 W, 52
2026/09/06 16:20:22.319, 94 %, 27997 MiB, 385.10 W, 52
2026/09/06 16:20:22.569, 94 %, 27997 MiB, 384.51 W, 58
2026/09/06 16:20:22.819, 94 %, 27997 MiB, 384.51 W, 58
2026/09/06 16:20:23.070, 94 %, 27997 MiB, 405.47 W, 53
2026/09/06 16:20:23.320, 94 %, 27997 MiB, 405.47 W, 53
2026/09/06 16:20:23.570, 95 %, 27997 MiB, 405.29 W, 53
2026/09/06 16:20:23.820, 95 %, 27997 MiB, 405.29 W, 53
2026/09/06 16:20:24.070, 95 %, 27997 MiB, 384.26 W, 53
2026/09/06 16:20:24.321, 95 %, 27997 MiB, 384.26 W, 53
2026/09/06 16:20:24.571, 95 %, 27997 MiB, 384.65 W, 53
2026/09/06 16:20:24.821, 95 %, 27997 MiB, 384.65 W, 53
2026/09/06 16:20:25.071, 95 %, 27997 MiB, 402.22 W, 53
2026/09/06 16:20:25.322, 95 %, 27997 MiB, 402.22 W, 53
2026/09/06 16:20:25.572, 94 %, 27997 MiB, 402.55 W, 53
2026/09/06 16:20:25.822, 94 %, 27997 MiB, 402.55 W, 53
2026/09/06 16:20:26.072, 94 %, 27997 MiB, 385.41 W, 53
2026/09/06 16:20:26.323, 94 %, 27997 MiB, 385.41 W, 53
2026/09/06 16:20:26.573, 94 %, 27997 MiB, 385.38 W, 59
2026/09/06 16:20:26.823, 94 %, 27997 MiB, 385.38 W, 59
2026/09/06 16:20:27.073, 94 %, 27997 MiB, 404.33 W, 54
2026/09/06 16:20:27.323, 94 %, 27997 MiB, 404.33 W, 54
2026/09/06 16:20:27.574, 95 %, 27997 MiB, 404.64 W, 54
2026/09/06 16:20:27.824, 95 %, 27997 MiB, 404.64 W, 54
2026/09/06 16:20:28.074, 95 %, 27997 MiB, 385.55 W, 58
2026/09/06 16:20:28.324, 95 %, 27997 MiB, 385.55 W, 58
2026/09/06 16:20:28.575, 94 %, 27997 MiB, 404.36 W, 54
2026/09/06 16:20:28.825, 94 %, 27997 MiB, 404.36 W, 54
2026/09/06 16:20:29.075, 94 %, 27997 MiB, 406.81 W, 54
2026/09/06 16:20:29.326, 94 %, 27997 MiB, 406.81 W, 54
2026/09/06 16:20:29.576, 94 %, 27997 MiB, 386.12 W, 54
2026/09/06 16:20:29.826, 94 %, 27997 MiB, 386.12 W, 54
2026/09/06 16:20:30.076, 94 %, 27997 MiB, 406.76 W, 55
2026/09/06 16:20:30.327, 94 %, 27997 MiB, 406.76 W, 55
2026/09/06 16:20:30.579, 94 %, 27997 MiB, 407.06 W, 54
2026/09/06 16:20:30.829, 94 %, 27997 MiB, 407.06 W, 54
2026/09/06 16:20:31.079, 94 %, 27997 MiB, 386.35 W, 55
2026/09/06 16:20:31.329, 94 %, 27997 MiB, 386.35 W, 55
2026/09/06 16:20:31.580, 94 %, 27997 MiB, 386.57 W, 55
2026/09/06 16:20:31.830, 94 %, 27997 MiB, 386.57 W, 55
2026/09/06 16:20:32.080, 94 %, 27997 MiB, 405.35 W, 55
2026/09/06 16:20:32.331, 94 %, 27997 MiB, 405.35 W, 55
2026/09/06 16:20:32.581, 94 %, 27997 MiB, 405.49 W, 55
2026/09/06 16:20:32.831, 94 %, 27997 MiB, 405.49 W, 55
2026/09/06 16:20:33.082, 94 %, 27997 MiB, 386.95 W, 55
2026/09/06 16:20:33.332, 94 %, 27997 MiB, 386.95 W, 55
2026/09/06 16:20:33.582, 94 %, 27997 MiB, 404.39 W, 56
2026/09/06 16:20:33.833, 94 %, 27997 MiB, 404.39 W, 56
2026/09/06 16:20:34.083, 94 %, 27997 MiB, 406.57 W, 55
2026/09/06 16:20:34.334, 94 %, 27997 MiB, 406.57 W, 55
2026/09/06 16:20:34.584, 95 %, 27997 MiB, 387.75 W, 55
2026/09/06 16:20:34.834, 95 %, 27997 MiB, 387.75 W, 55
2026/09/06 16:20:35.084, 95 %, 27997 MiB, 406.57 W, 57
2026/09/06 16:20:35.335, 95 %, 27997 MiB, 406.57 W, 57
2026/09/06 16:20:35.585, 94 %, 27997 MiB, 408.84 W, 56
2026/09/06 16:20:35.835, 94 %, 27997 MiB, 408.84 W, 56
2026/09/06 16:20:36.085, 94 %, 27997 MiB, 406.99 W, 56
2026/09/06 16:20:36.336, 94 %, 27997 MiB, 406.99 W, 56
2026/09/06 16:20:36.586, 94 %, 27997 MiB, 407.08 W, 56
2026/09/06 16:20:36.836, 94 %, 27997 MiB, 407.08 W, 56
2026/09/06 16:20:37.089, 94 %, 27997 MiB, 407.16 W, 56
2026/09/06 16:20:37.339, 94 %, 27997 MiB, 407.16 W, 56
2026/09/06 16:20:37.589, 96 %, 27997 MiB, 408.50 W, 57
2026/09/06 16:20:37.840, 96 %, 27997 MiB, 408.50 W, 57
2026/09/06 16:20:38.090, 96 %, 27997 MiB, 407.16 W, 56
2026/09/06 16:20:38.340, 96 %, 27997 MiB, 407.16 W, 56
2026/09/06 16:20:38.591, 92 %, 27997 MiB, 387.95 W, 59
2026/09/06 16:20:38.841, 92 %, 27997 MiB, 387.95 W, 59
2026/09/06 16:20:39.091, 92 %, 27997 MiB, 403.35 W, 56
2026/09/06 16:20:39.342, 92 %, 27997 MiB, 403.35 W, 56
