timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:26:28.705, 0 %, 28247 MiB, 29.57 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:28.971, 0 %, 28247 MiB, 29.57 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:29.221, 0 %, 28247 MiB, 29.82 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:29.471, 0 %, 28247 MiB, 29.82 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:29.721, 0 %, 28247 MiB, 29.82 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:29.972, 0 %, 28247 MiB, 29.82 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:30.222, 0 %, 28247 MiB, 29.59 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:30.472, 0 %, 28247 MiB, 29.59 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:30.722, 0 %, 28247 MiB, 29.59 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:30.972, 0 %, 28247 MiB, 29.59 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:31.223, 0 %, 28247 MiB, 27.88 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:31.473, 0 %, 28247 MiB, 27.88 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:31.723, 0 %, 28247 MiB, 27.88 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:31.973, 0 %, 28247 MiB, 27.88 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:32.224, 0 %, 28247 MiB, 28.19 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:32.474, 0 %, 28247 MiB, 28.19 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:32.724, 0 %, 28247 MiB, 28.19 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:32.974, 0 %, 28247 MiB, 28.19 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:33.225, 0 %, 28247 MiB, 29.60 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:33.475, 0 %, 28247 MiB, 29.60 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:33.725, 0 %, 28247 MiB, 29.60 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:33.975, 0 %, 28247 MiB, 29.60 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:34.226, 0 %, 28247 MiB, 29.48 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:34.476, 0 %, 28247 MiB, 29.48 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:34.726, 0 %, 28247 MiB, 29.48 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:34.976, 0 %, 28247 MiB, 29.48 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:35.226, 0 %, 28247 MiB, 27.52 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:35.477, 0 %, 28247 MiB, 27.52 W, 43, 180 MHz, 405 MHz
2026/09/06 16:26:35.727, 0 %, 28247 MiB, 27.52 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:35.977, 0 %, 28247 MiB, 27.52 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:36.227, 0 %, 28247 MiB, 29.15 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:36.478, 0 %, 28247 MiB, 29.15 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:36.728, 0 %, 28247 MiB, 29.15 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:36.978, 0 %, 28247 MiB, 29.15 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:37.228, 0 %, 28247 MiB, 29.53 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:37.478, 0 %, 28247 MiB, 29.53 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:37.729, 0 %, 28247 MiB, 29.53 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:37.979, 0 %, 28247 MiB, 29.53 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:38.229, 0 %, 28247 MiB, 29.23 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:38.479, 0 %, 28247 MiB, 29.23 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:38.730, 0 %, 28247 MiB, 29.23 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:38.980, 0 %, 28247 MiB, 29.23 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:39.230, 0 %, 28247 MiB, 29.18 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:39.480, 0 %, 28247 MiB, 29.18 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:39.730, 0 %, 28247 MiB, 29.18 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:39.981, 0 %, 28247 MiB, 29.18 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:40.231, 0 %, 28247 MiB, 29.43 W, 42, 180 MHz, 405 MHz
2026/09/06 16:26:40.481, 0 %, 28247 MiB, 29.43 W, 42, 180 MHz, 405 MHz
