timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:30:08.361, 0 %, 27997 MiB, 28.71 W, 48, 180 MHz, 405 MHz
2026/09/06 16:30:08.641, 0 %, 27997 MiB, 29.89 W, 48, 180 MHz, 405 MHz
2026/09/06 16:30:08.891, 0 %, 27997 MiB, 29.89 W, 48, 180 MHz, 405 MHz
2026/09/06 16:30:09.142, 0 %, 27997 MiB, 29.89 W, 48, 180 MHz, 405 MHz
2026/09/06 16:30:09.392, 0 %, 27997 MiB, 29.89 W, 48, 180 MHz, 405 MHz
2026/09/06 16:30:09.642, 0 %, 27997 MiB, 30.02 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:09.892, 0 %, 27997 MiB, 30.02 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:10.142, 0 %, 27997 MiB, 30.02 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:10.393, 0 %, 27997 MiB, 30.02 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:10.643, 0 %, 27997 MiB, 29.48 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:10.893, 0 %, 27997 MiB, 29.48 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:11.143, 0 %, 27997 MiB, 29.48 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:11.394, 0 %, 27997 MiB, 29.48 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:11.644, 0 %, 27997 MiB, 28.18 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:11.894, 0 %, 27997 MiB, 28.18 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:12.144, 0 %, 27997 MiB, 28.18 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:12.394, 0 %, 27997 MiB, 28.18 W, 47, 180 MHz, 405 MHz
2026/09/06 16:30:12.645, 0 %, 27997 MiB, 28.45 W, 47, 180 MHz, 405 MHz
