timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:37:18.229, 0 %, 28151 MiB, 26.59 W, 42
2026/09/06 16:37:18.506, 0 %, 28151 MiB, 26.59 W, 42
2026/09/06 16:37:18.757, 0 %, 28151 MiB, 27.30 W, 42
2026/09/06 16:37:19.007, 0 %, 28151 MiB, 27.30 W, 42
2026/09/06 16:37:19.257, 0 %, 28151 MiB, 27.30 W, 42
2026/09/06 16:37:19.507, 0 %, 28151 MiB, 27.30 W, 42
2026/09/06 16:37:19.758, 0 %, 28151 MiB, 27.63 W, 42
2026/09/06 16:37:20.008, 0 %, 28151 MiB, 27.63 W, 42
2026/09/06 16:37:20.258, 0 %, 28151 MiB, 27.63 W, 42
2026/09/06 16:37:20.508, 0 %, 28151 MiB, 27.63 W, 42
2026/09/06 16:37:20.759, 0 %, 28151 MiB, 27.78 W, 42
2026/09/06 16:37:21.009, 0 %, 28151 MiB, 27.78 W, 42
2026/09/06 16:37:21.260, 0 %, 28151 MiB, 27.78 W, 42
2026/09/06 16:37:21.510, 0 %, 28151 MiB, 27.78 W, 42
2026/09/06 16:37:21.760, 0 %, 28151 MiB, 28.03 W, 42
2026/09/06 16:37:22.010, 0 %, 28151 MiB, 28.03 W, 42
2026/09/06 16:37:22.261, 0 %, 28151 MiB, 28.03 W, 42
2026/09/06 16:37:22.511, 0 %, 28151 MiB, 28.03 W, 42
2026/09/06 16:37:22.761, 0 %, 28151 MiB, 27.88 W, 42
2026/09/06 16:37:23.011, 0 %, 28151 MiB, 27.88 W, 42
2026/09/06 16:37:23.261, 0 %, 28151 MiB, 27.88 W, 42
2026/09/06 16:37:23.512, 0 %, 28151 MiB, 27.88 W, 42
2026/09/06 16:37:23.762, 0 %, 28151 MiB, 26.97 W, 42
2026/09/06 16:37:24.012, 0 %, 28151 MiB, 26.97 W, 42
2026/09/06 16:37:24.262, 0 %, 28151 MiB, 26.97 W, 42
2026/09/06 16:37:24.512, 0 %, 28151 MiB, 26.97 W, 42
2026/09/06 16:37:24.763, 0 %, 28151 MiB, 25.92 W, 42
2026/09/06 16:37:25.013, 0 %, 28151 MiB, 25.92 W, 42
